hbzId	zdbId
HT013523862	2095271-5
HT012825659	2026187-1
HT013524010	2095421-9
HT013524036	2095451-7
HT014978004	2267258-8
HT016196484	2531470-1
HT016196591	2531624-2
HT015594976	2435047-3
HT015594980	2435051-5
HT015595153	2435267-6
HT015595774	2435986-5
HT016197101	2532201-1
HT018834316	2842725-7
HT015595786	2435998-1
HT014977979	2267233-3
HT014978325	2267592-9
HT014978327	2267594-2
HT014978334	2267601-6
HT014978337	2267604-1
HT014986404	2268688-5
HT014986409	2268693-9
HT014986419	2268703-8
HT014986696	2268989-8
HT016235024	2537456-4
HT017048165	2638351-2
HT017048170	2638356-1
HT016235284	2537733-4
HT019150766	2874270-9
HT018637907	2820769-5
HT016235515	2537396-1
HT019150786	2874305-2
HT016236066	2537140-X
HT019150798	2874318-0
HT013783668	2117803-3
HT018834876	2842775-0
HT013783758	2117893-8
HT018834885	2842782-8
HT013783960	2118097-0
HT018760761	2835260-9
HT018760785	2835290-7
HT016320899	2548358-4
HT016321172	2548121-6
HT019146987	2873692-8
HT018546826	2811388-3
HT016321197	2547958-1
HT016910597	2619558-6
HT016910623	2619584-7
HT015603152	2436553-1
HT015603162	2436542-7
HT016910653	2619614-1
HT012981844	2005504-3
HT019146985	2873696-5
HT018764072	2835661-5
HT016187193	2530287-5
HT016187194	2530729-0
HT012982539	2006239-4
HT019148830	2874015-4
HT016187220	2530282-6
HT019148835	2874021-X
HT019148849	2874039-7
HT012982609	2006310-6
HT016187719	2530613-3
HT016247231	2537916-1
HT016247232	2537917-3
HT016247706	2538452-1
HT016187197	2530306-5
HT016187208	2530317-X
HT018638862	2820925-4
HT015594668	2435337-1
HT014978383	2267652-1
HT016320652	2548065-0
HT014985866	2268133-4
HT015595143	2435257-3
HT015595572	2435766-2
HT013783779	2117914-1
HT013784235	2118377-6
HT014986368	2268651-4
HT018771625	2836281-0
HT018771626	2836278-0
HT018834890	2842788-9
HT016853510	2612281-9
HT016853610	2612401-4
HT016894469	2617871-0
HT018551179	2811859-5
HT018551189	2811868-6
HT018635071	2820451-7
HT013831290	2124414-5
HT013783845	2117981-5
HT013523850	2095259-4
HT013523856	2095265-X
HT013523870	2095279-X
HT018955897	2853954-0
HT018955902	2853957-6
HT013523817	2095226-0
HT013524005	2095416-5
HT018637191	2820702-6
HT013524027	2095441-4
HT016320476	2547881-3
HT013475933	2089746-7
HT016942339	2624169-9
HT016942341	2624171-7
HT013524009	2095420-7
HT013524014	2095427-X
HT018637930	2820759-2
HT014986203	2268479-7
HT013783970	2118107-X
HT014986560	2268846-8
HT014986569	2268858-4
HT014986574	2268863-8
HT014987616	2269832-2
HT018543913	2810972-7
HT012873442	2027276-5
HT018543939	2810981-8
HT013524357	2095788-9
HT015595798	2436010-7
HT019142968	2873419-1
HT019142982	2873431-2
HT018545339	2811218-0
HT019142996	2873447-6
HT016320422	2547827-8
HT018546849	2811408-5
HT012982101	2005768-4
HT012982449	2006135-3
HT016196600	2531633-3
HT014540748	2208205-0
HT014578367	2212044-0
HT013830832	2123954-X
HT018548578	2811663-X
HT015603666	2436735-7
HT013831378	2124504-6
HT016017675	2508391-0
HT014986047	2268317-3
HT014986049	2268319-7
HT012982947	2006660-0
HT014986054	2268324-0
HT018658783	2823200-8
HT013524045	2095460-8
HT013524046	2095461-X
HT014986579	2268868-7
HT013524069	2095485-2
HT014986751	2269046-3
HT018658806	2823224-0
HT014986752	2269047-5
HT013524076	2095492-X
HT013784105	2118245-0
HT014986740	2269034-7
HT014986741	2269035-9
HT016910522	2619478-8
HT016910525	2619482-X
HT018635166	2820531-5
HT013524373	2095804-3
HT013524378	2095810-9
HT016910580	2619540-9
HT013524386	2095818-3
HT018555285	2812500-9
HT013784165	2118306-5
HT018677706	2825619-0
HT018677723	2825639-6
HT018551536	2811911-3
HT016187287	2530108-1
HT018677745	2825659-1
HT018636317	2820609-5
HT018670637	2824738-3
HT016253689	2541007-6
HT016188099	2531034-3
HT018637206	2820713-0
HT018637210	2820725-7
HT016188302	2531268-6
HT016188305	2531271-6
HT016188309	2531275-3
HT016188319	2531286-8
HT016196742	2531815-9
HT016017577	2508287-5
HT016196751	2531825-1
HT015603650	2436719-9
HT016894110	2617495-9
HT016894113	2617498-4
HT016894119	2617504-6
HT016894206	2617596-4
HT016894350	2617743-2
HT013524079	2095495-5
HT016320716	2548149-6
HT018551420	2811893-5
HT014985764	2268028-7
HT013475951	2089766-2
HT016910528	2619485-5
HT016910547	2619505-7
HT016910551	2619509-4
HT014986450	2268736-1
HT014986458	2268744-0
HT014986463	2268749-X
HT018634328	2820259-4
HT018539609	2810123-6
HT018677697	2825614-1
HT018539638	2810158-3
HT018539642	2810169-8
HT018708970	2829337-X
HT016910639	2619600-1
HT018708983	2829347-2
HT016320995	2548460-6
HT018551541	2811926-5
HT018677747	2825662-1
HT019147669	2873814-7
HT016941982	2623780-5
HT019147676	2873820-2
HT018677769	2825686-4
HT016321004	2548470-9
HT016942179	2623991-7
HT016942334	2624164-X
HT016942540	2624385-4
HT018637927	2820762-2
HT018671144	2824855-7
HT012981761	2005417-8
HT016188314	2531280-7
HT016188321	2531288-1
HT014578338	2212012-9
HT012981849	2005509-2
HT014540839	2208299-2
HT014986045	2268315-X
HT012981954	2005618-7
